Begin Bates num from 2026-03-20 Production,End Bates num from 2026-03-20 Production,Document Date,File Name,Email Subject,Email From,Email To,Email CC,Email BCC,Tag: Privilege - Redact,Tag: Privilege - Withhold,Tag: AC-WP,Tag: FERPA,Tag: Employee Privacy,Tag: PID,Tag: Financial Account,Tag: Computer Security Password,Tag: Social Security Number
EXAMPLE003824,EXAMPLE003825,1/24/2025,Example Thread - Family Update  Fw  About Site Visit .msg,"Example Thread - Family Update ""Fw: About Site Visit""",Owen Harper,Nora Patel; Priya Nand; Lucas Reed; Maya Brooks; Ethan Park,,,TRUE,,TRUE,,,,,,TRUE
EXAMPLE003843,EXAMPLE003844,1/24/2025,RE  Example Thread - Family Update  Fw  About Site Visit .msg,"RE: Example Thread - Family Update ""Fw: About Site Visit""",Owen Harper,Priya Nand; Nora Patel; Lucas Reed; Maya Brooks; Ethan Park,,,TRUE,,,,,,,,TRUE
EXAMPLE003845,EXAMPLE003846,1/24/2025,RE  Example Thread - Family Update  Fw  About Site Visit .msg,"RE: Example Thread - Family Update ""Fw: About Site Visit""",Priya Nand,Owen Harper; Nora Patel; Lucas Reed; Maya Brooks; Ethan Park,,,TRUE,,TRUE,,,,,,
EXAMPLE003847,EXAMPLE003847,1/15/2025,RE  Team Draft- Please review.msg,RE: Team Draft - Please review,Owen Harper,Chloe Bennett; Priya Nand; Maya Brooks,Amelia Stone; Jordan Kim; Riley Adams,,TRUE,,,,TRUE,,,,
EXAMPLE004480,EXAMPLE004480,1/16/2025,RE  Family letter - Jan 10 Draft.msg,RE: Family letter - Jan 10 Draft,Mason Cole,Chloe Bennett; Priya Nand; Riley Adams; Jordan Kim; Owen Harper; Maya Brooks,Amelia Stone,,TRUE,,TRUE,TRUE,,,,,
EXAMPLE003875,EXAMPLE003877,1/27/2025,Re  Example Thread - Family Update  Fw  About Site Visit .msg,"Re: Example Thread - Family Update ""Fw: About Site Visit""",Maya Brooks,Owen Harper; Priya Nand; Nora Patel; Lucas Reed; Ethan Park,,,TRUE,,TRUE,TRUE,,,,,
EXAMPLE003879,EXAMPLE003879,2/17/2026,Re  Phone Call Related to Project Launch.msg,Re: Phone Call Related to Project Launch,Maya Brooks,Evelyn Hart,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,,,,TRUE,,,
EXAMPLE003881,EXAMPLE003881,2/17/2026,Phone Call Related to Project Launch - DRAFT.msg,Phone Call Related to Project Launch - DRAFT,Evelyn Hart,Claire Morgan,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,TRUE,,,TRUE
EXAMPLE003882,EXAMPLE003883,2/19/2026,Re  Phone Call Related to Project Launch - DRAFT.msg,Re: Phone Call Related to Project Launch - DRAFT,Evelyn Hart,Claire Morgan,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,,,,
EXAMPLE003884,EXAMPLE003885,2/19/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Naomi Ellis,Claire Morgan; Evelyn Hart,Priya Nand; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,,,,
EXAMPLE003886,EXAMPLE003888,2/20/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Naomi Ellis,Claire Morgan; Evelyn Hart,Priya Nand; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,,,,TRUE,,,
EXAMPLE003889,EXAMPLE003889,2/19/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Claire Morgan,Evelyn Hart,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,,,,
EXAMPLE003890,EXAMPLE003891,2/19/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Claire Morgan,Evelyn Hart,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,,,,
EXAMPLE003892,EXAMPLE003895,2/26/2026,Phone Call Related to Project Launch - DRAFT.msg,Phone Call Related to Project Launch - DRAFT,Naomi Ellis,Naomi Ellis; Harper Lane; Priya Nand,,,TRUE,,,,,TRUE,,,
EXAMPLE003897,EXAMPLE003897,10/20/2025,Records request  - DUE 10 21 2025.msg,Records request - DUE 10/21/2025,Naomi Ellis,Harper Lane,Priya Nand,,,TRUE,,,,,TRUE,,
EXAMPLE003898,EXAMPLE003901,2/26/2026,Phone Call Related to Project Launch - DRAFT.msg,Phone Call Related to Project Launch - DRAFT,Naomi Ellis,Harper Lane; Priya Nand,,,,TRUE,,,,TRUE,,,
EXAMPLE003903,EXAMPLE003903,10/20/2025,Re  Records request  - DUE 10 21 2025.msg,Re: Records request - DUE 10/21/2025,Harper Lane,Naomi Ellis,Priya Nand,,TRUE,,TRUE,,,,TRUE,,
EXAMPLE003906,EXAMPLE003908,2/26/2026,Re  Phone Call Related to Project Launch - DRAFT.msg,Re: Phone Call Related to Project Launch - DRAFT,Evelyn Hart,Harper Lane,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,,,,TRUE,,,
EXAMPLE003909,EXAMPLE003910,2/19/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Priya Nand,Harper Lane; Evelyn Hart,Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,,,,
EXAMPLE003911,EXAMPLE003911,10/22/2025,January routing notes    DRAFT   .msg,January routing notes ***DRAFT***,Mason Cole,Harper Lane,Priya Nand; Naomi Ellis; Miles Turner,,TRUE,,TRUE,,TRUE,,,TRUE,
EXAMPLE003927,EXAMPLE003927,2/17/2026,Phone Call Related to Project Launch - DRAFT.msg,Phone Call Related to Project Launch - DRAFT,Evelyn Hart,Harper Lane,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,TRUE,,,
EXAMPLE003928,EXAMPLE003929,3/10/2026,Re  Phone Call Follow Up.msg,Re: Phone Call Follow Up,Evelyn Hart,Harper Lane,Priya Nand; Daniel Price; Naomi Ellis,,TRUE,,TRUE,,,,,TRUE,
EXAMPLE003937,EXAMPLE003939,2/27/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Naomi Ellis,Evelyn Hart; Harper Lane,Priya Nand; Daniel Price; Victor Chen; Olivia Grant,,,TRUE,TRUE,,TRUE,,,,
EXAMPLE003940,EXAMPLE003943,2/27/2026,Re  Phone Call Related to Project Launch - DRAFT.msg,Re: Phone Call Related to Project Launch - DRAFT,Priya Nand,Naomi Ellis; Evelyn Hart; Harper Lane,Daniel Price; Victor Chen; Olivia Grant,,,TRUE,,,,TRUE,,,
EXAMPLE003944,EXAMPLE003946,2/20/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Naomi Ellis,Harper Lane; Priya Nand; Evelyn Hart,Daniel Price; Victor Chen; Olivia Grant,,TRUE,,TRUE,,,TRUE,,,
EXAMPLE003947,EXAMPLE003948,2/19/2026,Re  Phone Call Related to Project Launch - DRAFT.msg,Re: Phone Call Related to Project Launch - DRAFT,Evelyn Hart,Harper Lane,Priya Nand; Naomi Ellis; Daniel Price; Victor Chen; Olivia Grant,,,TRUE,,,,TRUE,,,
EXAMPLE003949,EXAMPLE003952,2/26/2026,RE  Phone Call Related to Project Launch - DRAFT.msg,RE: Phone Call Related to Project Launch - DRAFT,Priya Nand,Harper Lane,Naomi Ellis,,,TRUE,TRUE,,,,,,
